Authors,Author(s) ID,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Document Type,Source
"Lv C., Yang Y., Jiang L., Gao L., Rong S., Darko G.M., Jiang W., Gao Y., Sun D.","57195233635;7409385456;57198538359;57190749149;54414669500;57190729739;55276495900;8587799600;56220416600;","Association between chronic exposure to different water iodine and thyroid cancer: A retrospective study from 1995 to 2014",2017,"Science of the Total Environment",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026412413&doi=10.1016%2fj.scitotenv.2017.07.101&partnerID=40&md5=0fe7df234535ce8a840348d6fe2a204e","The controversy that iodine intake may increase the risk of thyroid cancer has heightened over the past twenty years. In this retrospective study, we mainly analyzed the association between water iodine and thyroid cancer and discussed the possible cause of the increase in thyroid cancer. This study was supported by three hospitals in areas with different water iodine concentration. 5574 patients with thyroid disease were recruited, of which 1429 patients had been diagnosed with thyroid cancer. These samples collectively were used to analyze the relationship of incidence and prevalence associated with water iodine. In addition, the ratio of maximum tumor diameter was analyzed. By analyzing the proportion of patients with thyroid cancer in thyroid diseases, we found a decrease in the proportion of thyroid cancer with increasing water iodine (P < 0.0001). In addition, there was no significant correlation between the median water iodine and the prevalence of thyroid cancer, including papillary thyroid cancer (P > 0.05). Meanwhile, the 5 years' cumulative incidence of thyroid cancer increased with years (P < 0.01). Comparing Cao county and Shan county, which are areas with high water iodine, to adequate iodine area such as in Mudan district, an increasing incidence is observed in 2010–2014 in Mudan district. Again, we observed a significant increase in the proportion of thyroid cancer with tumor size < 1 cm (P < 0.01). Therefore, we concluded that cause(s) of increase in thyroid cancer may be ascribed to the sensitive diagnostic techniques and the improvement of living condition, but not water iodine. © 2017","Incidence; Retrospective study; Sensitive diagnosis; Thyroid cancer; Water iodine",Article,Scopus
"Mascaux C., Tomasini P., Greillier L., Barlesi F.","6601971718;42662357400;6506891719;7004068464;","Personalised medicine for nonsmall cell lung cancer",2017,"European Respiratory Review",5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030246295&doi=10.1183%2f16000617.0066-2017&partnerID=40&md5=e8c225f40c3531ecb30f79b459a1eaae","After years of standard care prescribed to cancer patients without any selection except the primary site and histology of the tumour, the era of precision medicine has revolutionised cancer care. Personalised medicine refers to the selection of patients for specific treatment based on the presence of specific biomarkers which indicate sensitivity to corresponding targeted therapies and/or lower toxicity risk, such that patients will have the greatest chance of deriving benefit from the treatments. Here, we review personalised medicine for nonsmall cell lung cancer. © ERS 2017.",,Article,Scopus
"Han X., Liu Y., Gao H., Ma J., Mao X., Wang Y., Ma X.","57194858219;35956467200;56532821600;55736178000;55640140500;57194858719;57194854777;","Forecasting PM2.5 induced male lung cancer morbidity in China using satellite retrieved PM2.5 and spatial analysis",2017,"Science of the Total Environment",10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023636452&doi=10.1016%2fj.scitotenv.2017.07.061&partnerID=40&md5=645ceea73384dae6d05450298c1ea38b","The present study predicts a spatial distribution of lung cancer morbidity in Chinese males due to exposure to PM2.5 concentration from 2010 to 2015. A spatial autocorrelation method was used to evaluate the spatial relationship between the lung cancer morbidities from 2006 to 2009 and satellite-derived PM2.5 atmospheric levels. A comprehensive grey correlation degree analysis was carried out to assess the simultaneous and lag associations between the lung cancer morbidity and PM2.5 concentration. These relationships were subsequently applied to predict male lung cancer morbidity in a specific year. Annual mean PM2.5 levels in this specific year and previous 8 years were used as 9 independent variables to establish four statistical models. These models include ridge regression (RR), partial least squares regression (PLSR), support vector regression (SVR), and the combined forecasting model (CFM) to predict the male lung cancer morbidity in China from 2010 to 2015. The model error evaluations suggested that the partial least squares regression model performed the best in the male lung cancer morbidity forecast. We calculated the male lung cancer morbidity by the optimal method among the established statistical forecasting models at 1948 sites in China. The gridded morbidity distribution from 2010 to 2015 across the country was obtained by Kriging interpolation method. Results showed that the male lung cancer morbidity increased significantly from western to eastern China, except for the far north region. This spatial pattern is in line with the spatial distribution of PM2.5 concentration, manifesting a significant relationship between PM2.5 concentration level and lung cancer morbidity in Chinese males. © 2017","China; Lung cancer; Male; Morbidity; PM2.5; Spatial analysis",Article,Scopus
"Mutar H.A.","57200368329;","Association of CYP1A1 gene polymorphism with breast cancer incidence",2017,"International Journal of Research in Pharmaceutical Sciences",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040983160&partnerID=40&md5=b6621abe4c41026b89fba1b1713a2012","This study was aimed to investigate the molecular detection of the CYP1A1 gene polymorphism and its role in breast cancer enhancement. Additionally, understanding some of the environmental factors and their relationship to the occurrence of breast cancer was proposed for this study. Blood samples were collected from 50 women at ages between 21-71 years old, that suffered from breast cancer and 50 healthy women who are considered as a control group. The samples were placed in EDTA-based tubes. Then, the samples were kept frozen at -20 ̊C for later DNA extraction and polymerase chain reaction (PCR) laboratory procedures. The results of the mutation analyses of the CYP1A1 gene for the cancer and the healthy groups revealed that the occurrence frequencies of the homozygous wild type isoleucine/isoleucine were 52% and 26% respectively. While they were 42% and 60% respectively for the homozygous mutant Val/Val. Moreover, the heterozygous mutant Val/Ile type showed presence at 6% and 14% respectively. The statistical analyses confirmed that the incidence of the breast cancer could increase with genetic trait of the homozygous mutant Val/Val in a difference rate of 1.4 and confidence interval at 3.337-0.587. The findings of this study also declared that the women who carried the heterozygous mutant Val/Ile and their menstrual cycle started at the ages between 14-17 years old had 4 times of the risk factor of developing breast cancer. The study also revealed that there were no significant differences between the women who had breast cancer if they had early or late menopause. Finally, the study results showed that there was 3 times risk factor of developing breast cancer in uneducated women when linked to the genotypic trait Val/Ile in a difference rate of 3.2 and confidence interval of 40.057-0.265. It has been concluded that the risk factor of breast cancer was increased in the uneducated women in the presence of the Val/Ile genotype. This could be reasoned to the lifestyle of exposing to chemicals, paints, smoking, and many environmental carcinogens. © JK Welfare & Pharmascope Foundation | International Journal of Research in Pharmaceutical Sciences.","Breast cancer; CYP1A1 gene polymorphism; Polymerase chain reaction (PCR)",Article,Scopus
"Mortazavi S.A.R., Mortazavi G., Mortazavi S.M.J.","56049565300;26637103200;57199416316;","Comments on “Radiofrequency electromagnetic fields and some cancers of unknown etiology: An ecological study”",2017,"Science of the Total Environment",7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024504272&doi=10.1016%2fj.scitotenv.2017.07.131&partnerID=40&md5=36c6739ab0d1b25d0eef96c9e888e050","This correspondence refers to the Science of the Total Environment article by Gonzalez-Rubio et al. entitled “Radiofrequency electromagnetic fields and some cancers of unknown etiology: An ecological study”. Authors of this paper have presented the findings of their preliminary epidemiological study which combined epidemiology, statistics and geographical information systems (GIS). Gonzalez-Rubio et al. have analyzed the possible link between exposure to Radiofrequency Electromagnetic Fields (RF-EMF) in the city of Albacete, Spain and the incidence of cancers such as lymphomas, and brain tumors. The shortcomings of this study are discussed. © 2017","Cancer; Electromagnetic fields; Mobile phone; Radiofrequency",Letter,Scopus
"Olesinski T.","18434503200;","Cytoreductive surgery and HIPEC in the treatment of peritoneal metastases of sarcomas and other rare malignancies",2017,"Polski Przeglad Chirurgiczny/ Polish Journal of Surgery",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052223844&doi=10.5604%2f01.3001.0010.6746&partnerID=40&md5=478a8d74ffbc1e875116bbc01acf974c","Cytoreductive surgery (CRS) combined with hyperthermic intraperitoneal chemotherapy (HIPEC) in intraperitoneal dissemination of colorectal carcinoma, pseudomyxoma peritonei or gastric cancer is becoming standard practice. The evaluation of the effectiveness of such management in other cancers is still the subject of clinical trials. It is particularly difficult to assess the effectiveness of CRS and HIPEC in the treatment of intraperitoneal spread of rare types of malignancies such as sarcomas or small intestine cancer. The available, mainly retrospective, studies have been reviewed and discussed. They confirm the efficacy of cytoreductive procedures, especially if complete surgical cytoreduction (CC-0/1) has been achieved, however, the effectiveness of HIPEC requires further prospective studies. © 2018 Fundacja Polski Przeglad Chirurgiczny.","cytoreductive surgery; DRSCT; HIPEC; peritoneal carcinomatosis; Sarcoma; small bowel adenocarcinoma",Article,Scopus
"Kumar A., Agrawal R., Misra S.K., Prakash G.","56714262400;57205270899;57202160015;16751617200;","Prevalence and biosocial determinants of potentially malignant disorders of oral soft tissue in slum population of Western Uttar Pradesh",2017,"Indian Journal of Community Health",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047323396&partnerID=40&md5=4a95ed6276cec9ba229d0c807affe5fc","Background: Oral cancer ranks in the top three of all cancers in India, which accounts for over thirty per cent of all cancers reported in the country and oral cancer control is quickly becoming a global health priority. Early diagnosis is the most important single factor in combating oral cancer and improving the survival rate. Aim and objectives: To find out the prevalence of potentially malignant disorders (PMDs) of oral soft tissues in above 15 years age population and to find the biosocial determinants of PMDs of oral soft tissues. Material & Methods: Community based, cross sectional study, carried out in a randomly selected urban slum area of Agra, among 1254 individuals of more than 15 years of age. The individuals were interviewed, and oral cavity was examined to detect the PMDs of oral soft tissues. Results: The prevalence of PMDs of oral soft tissues was found 16.45%. Prevalence of sub mucosal fibrosis (SMF) is 10.61% followed by leukoplakia (5.11%) and erythroplakia 0.72%. Prevalence of PMDs in males is 23.22% which is much higher than females 8.24%. Prevalence of SMF is much higher in illiterates 19.01%. Unemployed individuals showed lower prevalence of PMDs i.e. 14.73% in comparison to semiskilled laborers 47.56%. PMD prevalence is higher in lower social classes 17.55%. Conclusion: Prevalence of PMDs is higher in males and illiterates. PMDs of oral soft tissues showed statistically significant increase in prevalence with advancing age. Statistically significantly lower prevalence is found in unemployed and housewives. Prevalence is high among laborers and lower social classes. © 2017, Indian Association of Preventive and Social Medicine. All rights reserved.","Erythoplakia; Leukoplakia; Oral cancer; Oral soft tissues; Potentially malignant disorders; Sub mucosal fibrosis",Article,Scopus
"Larici A.R., Farchione A., Franchi P., Ciliberto M., Cicchetti G., Calandriello L., del Ciello A., Bonomo L.","6508250400;55348670600;56000951100;56031449800;56694772200;23003400500;8576168000;35419761500;","Lung nodules: Size still matters",2017,"European Respiratory Review",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039733769&doi=10.1183%2f16000617.0025-2017&partnerID=40&md5=90bd74ed0f19592c8e979c9988bda60a","The incidence of indeterminate pulmonary nodules has risen constantly over the past few years. Determination of lung nodule malignancy is pivotal, because the early diagnosis of lung cancer could lead to a definitive intervention. According to the current international guidelines, size and growth rate represent the main indicators to determine the nature of a pulmonary nodule. However, there are some limitations in evaluating and characterising nodules when only their dimensions are taken into account. There is no single method for measuring nodules, and intrinsic errors, which can determine variations in nodule measurement and in growth assessment, do exist when performing measurements either manually or with automated or semi-automated methods. When considering subsolid nodules the presence and size of a solid component is the major determinant of malignancy and nodule management, as reported in the latest guidelines. Nevertheless, other nodule morphological characteristics have been associated with an increased risk of malignancy. In addition, the clinical context should not be overlooked in determining the probability of malignancy. Predictive models have been proposed as a potential means to overcome the limitations of a sized-based assessment of the malignancy risk for indeterminate pulmonary nodules. © ERS 2017.",,Article,Scopus
"Wiatkowski W., Rahnama M., Tomaszewski T., Bigas M., Wiatkowska A., Obacz M., Wallner J.","57204760207;7003547197;6701728258;57203548441;57204759156;57204765319;53165001900;","Association between clinical stage of oral cancer and expression of immunohistochemical markers",2017,"Polski Przeglad Chirurgiczny/ Polish Journal of Surgery",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052196976&doi=10.5604%2f01.3001.0010.6736&partnerID=40&md5=6a45b655b44500f1cc8f39eba0dac63c","Aim: The aim of this study is to demonstrate the possible correlation between the expression of examined protein markers - p53, EGFR, PCNA, p44/42 in the mass of the tumor and the clinical stage of disease. Material: 48 patients of the Department and Clinic of Oral and Maxillofacial Surgery, Lublin diagnosed with oral cancer. The control group consisted of 10 patients diagnosed with leukoplakia lesions in the oral cavity. The methods: Immunohistochemical analysis using the detection system DAKO K5007 Cat - Dako REAL ™ Detection System, Peroxidase DAB +, Rabbit / Mouse. Results: Based upon the statistical results, significant correlation between p53 protein and tumor staging; however, a correlation between the level of expression of EGFR, p44/42, PCNA and staging was not likewise revealed. Conclusions: Looking for oral squamous cell carcinoma markers remains an actual issue. Identification of specific markers of oral cancer could be used in screening the population, determining prognosis and response to treatment. © 2018 Fundacja Polski Przeglad Chirurgiczny.","neoplasm markers; oral cancer; proliferation markers; squamous cell carcinoma",Article,Scopus
"Kołacinska A., Hodorowicz-Zaniewska D., Bocian A., Michalik D., Matkowski R., Kurylcio A., Pyka P., Charytonowicz M., Berkan M.","23397489400;6504020418;57206498639;57203550162;8698398800;6507451481;6508129804;57200367131;57203554065;","Landscape of oncoplastic breast surgery across Poland",2017,"Polski Przeglad Chirurgiczny/ Polish Journal of Surgery",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052203468&doi=10.5604%2f01.3001.0010.6735&partnerID=40&md5=6e597ce9a69bec5c8a4fca00ef2637ce","Oncoplastic and reconstructive techniques are essential tools in the armamentarium of contemporary breast surgeons. The aim of the study was to identify oncoplastic reconstructive patterns in breast cancer centers across Poland. A questionnaire of 18 questions was sent by email to the members of the Polish Society of Surgical Oncology and the Polish Society of Plastic, Reconstructive and Esthetic Surgery via their dedicated websites. The numbers of breast cancer patients operated on in each center ranged from 120 to 904 per year. Breast conserving surgery (BCS) predominated in all but one center (range 50-70%). Immediate breast reconstructions (IBR) accounted for 6-42% of procedures, The most frequent type of IBR was either a two-stage expander followed by a permanent implant or one-stage implant- based with or without synthetic mesh. The most frequent type of delayed breast reconstruction (DBR) was a two- stage expander followed by implant- based reconstruction. None of the surveyed cancer centers performed free flap reconstruction. Deep inferior epigastric perforator (DIEP) flaps were performed in the plastic surgery department. Reconstructions based on pedicled flaps were performed in cancer centers. Acellular dermal matrices (ADM) and fat transfer were used in selected centers. In the clinical scenario of adjuvant radiotherapy, delayed breast reconstruction was favored. The full range of oncoplastic BCS was performed. Patient-reported outcome measures (PROM) and complications were assessed. Our findings can act as a platform for further improvement in skills, certification, data collection and audit, including patient reported expectation measures. There is also an urgent need to address pan-European inconsistencies in procedural reimbursement. © 2018 Fundacja Polski Przeglad Chirurgiczny.","breast cancer; oncoplastic surgery; patient reported outcomes",Article,Scopus
